File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-db999c.o,92.833145%,13264,63580,63318,130,132,13132
startup_at32f415.o,7.166853%,1024,404,36,368,0,1024
