File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-a2ddd2.o,95.658073%,103635,13352,103324,143,168,13184
mf_w.l,1.690988%,1832,0,1832,0,0,0
startup_at32f415.o,0.372904%,404,1024,36,368,0,1024
dadd.o,0.308292%,334,0,334,0,0,0
mc_w.l,0.293523%,318,0,318,0,0,0
dmul.o,0.210451%,228,0,228,0,0,0
ddiv.o,0.204912%,222,0,222,0,0,0
depilogue.o,0.171683%,186,0,186,0,0,0
fadd.o,0.162453%,176,0,176,0,0,0
fdiv.o,0.114456%,124,0,124,0,0,0
fepilogue.o,0.101533%,110,0,110,0,0,0
fmul.o,0.092303%,100,0,100,0,0,0
uldiv.o,0.090457%,98,0,98,0,0,0
dfixi.o,0.057228%,62,0,62,0,0,0
dfixui.o,0.046151%,50,0,50,0,0,0
ffixui.o,0.036921%,40,0,40,0,0,0
memseta.o,0.033229%,36,0,36,0,0,0
llsshr.o,0.033229%,36,0,36,0,0,0
init.o,0.033229%,36,0,36,0,0,0
dflti.o,0.031383%,34,0,34,0,0,0
llushr.o,0.029537%,32,0,32,0,0,0
llshl.o,0.027691%,30,0,30,0,0,0
handlers.o,0.027691%,30,0,30,0,0,0
fcmplt.o,0.025845%,28,0,28,0,0,0
fcmple.o,0.025845%,28,0,28,0,0,0
fcmpgt.o,0.025845%,28,0,28,0,0,0
fcmpge.o,0.025845%,28,0,28,0,0,0
dfltui.o,0.023999%,26,0,26,0,0,0
fflti.o,0.016615%,18,0,18,0,0,0
ffltui.o,0.009230%,10,0,10,0,0,0
entry9a.o,0.007384%,8,0,8,0,0,0
entry2.o,0.007384%,8,0,8,0,0,0
entry5.o,0.003692%,4,0,4,0,0,0
